artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,time_signature,pc1,pc2,label
Galantis,Runaway (U & I),0.506,0.805,1,-4.119,1,0.0469,0.007109999999999999,0.00193,0.0856,0.38299999999999995,126.008,spotify:track:46lFttIf5hnUZMGvjK0Wxo,4,-0.45150331417399675,0.11704125379642887,6
Mike Perry,Lighthouse,0.5429999999999999,0.875,1,-3.033,1,0.032,0.0795,1.07e-05,0.061,0.244,154.936,spotify:track:4AM3fxgUBkEUO6xScrmB9a,4,-0.47229519247869617,0.2774018913820186,6
Seven Lions,First Time (feat. Dylan Matthew),0.42200000000000004,0.677,11,-5.76,1,0.0365,0.251,3.55e-06,0.16,0.146,150.131,spotify:track:27YD36FUikKxbp3bKSiKGZ,4,-0.1618222706315749,0.4475475517005811,6
Seven Lions,First Time (feat. Dylan Matthew) - Acoustic,0.5579999999999999,0.337,10,-8.414,1,0.0311,0.92,2.34e-06,0.159,0.397,143.784,spotify:track:4s9Na0ywXodZXScgvXmJop,4,0.6020253828890012,0.17263482926217136,1
Lauv,For Now,0.5329999999999999,0.226,7,-12.186,1,0.0416,0.7829999999999999,7.32e-06,0.113,0.111,83.588,spotify:track:0PxJmAlyKcRdd1r9FvDbTn,4,0.7539437211741087,0.1981280618352313,1
Jai Wolf,Better Apart (feat. Dresage),0.489,0.703,4,-4.564,0,0.026000000000000002,0.013000000000000001,6.04e-05,0.10400000000000001,0.256,149.977,spotify:track:1TFC1wutiIHQQ9buf8bxQI,4,-0.386244025950504,0.3269041242223014,6
Lauv,Lonely Eyes,0.586,0.499,2,-7.005,1,0.0267,0.0418,0.0,0.0994,0.369,95.014,spotify:track:5qhHm4dN4L2dhRb2TfzGPw,4,-0.1262619434500407,0.00298899875915297,0
Martin Garrix,Used To Love (with Dean Lewis),0.6509999999999999,0.693,4,-4.7219999999999995,1,0.0375,0.45799999999999996,0.0,0.335,0.392,118.97,spotify:track:7pWK1kMgHy5lNNiIfuRbkP,4,-0.015333039872356421,-0.044547046452604745,0
Lauv,Changes,0.532,0.455,2,-8.366,1,0.156,0.452,0.0,0.237,0.204,148.18200000000002,spotify:track:7cDpMO5wuWgvv3j4INRBeB,4,0.22211103793456102,0.32213541763918885,4
Bryce Vine,La La Land (feat. YG),0.774,0.473,1,-5.122000000000001,0,0.0569,0.221,0.0,0.222,0.41600000000000004,97.95299999999999,spotify:track:4oM9DGUTrRaXJDypxxHztZ,4,0.005993337372289876,-0.1945186325781142,2
Felix Palmqvist,Think Of Me (feat. Loé),0.499,0.61,1,-4.48,1,0.031,0.606,1.8100000000000003e-05,0.0693,0.299,155.21200000000002,spotify:track:5uRjHOMFT16RS1f8ZNlkzm,4,0.10639362554695872,0.2891581429174595,4
X Ambassadors,HOLD YOU DOWN,0.5770000000000001,0.627,1,-5.553,0,0.0533,0.0491,1.24e-06,0.0766,0.446,78.96,spotify:track:3Tiv2bF1OLCXXnuXaDKaG3,4,-0.22280612031285668,-0.13420753173570527,0
Bryce Vine,Nowhere Man,0.634,0.677,8,-6.6979999999999995,1,0.0336,0.10099999999999999,1.9699999999999998e-05,0.0576,0.33,122.035,spotify:track:4Y778EFdrOrvILkY3k4FXO,4,-0.2158047817261174,0.06947977953588357,0
Bryce Vine,Sunflower Seeds,0.723,0.593,10,-5.816,1,0.0308,0.19399999999999998,5.3500000000000006e-05,0.217,0.273,92.985,spotify:track:4MJfCOcc2PpWOrUqOpvy1S,4,-0.06599610430375147,-0.08090185901102227,0
Bryce Vine,Los Angeles,0.728,0.812,1,-6.099,0,0.0671,0.121,0.0,0.293,0.8240000000000001,150.093,spotify:track:0GJnCFj7z7hvxo7AKX1PM8,4,-0.38846643685481663,-0.26505758788501005,5
Troye Sivan,YOUTH - Gryffin Remix,0.56,0.66,4,-6.263999999999999,0,0.0406,0.0796,0.00925,0.0989,0.36700000000000005,103.97399999999999,spotify:track:0fQ9O8i6Hw2VFMW7i1Tgav,4,-0.2277446041349044,0.02965972461357477,0
The Wanted,Glad You Came,0.61,0.841,7,-4.579,0,0.0692,0.055999999999999994,9.85e-06,0.11800000000000001,0.431,126.889,spotify:track:3AGOgQzp0YcPH41u9p7dOp,4,-0.4169941262879205,-0.0026048028834836385,5
Eric Reprid,June Blues,0.941,0.551,1,-5.659,0,0.0534,0.331,2.97e-05,0.106,0.7020000000000001,98.014,spotify:track:4WvApvScQ8ofzDIqgpScmb,4,0.03642978788096509,-0.52293640406978,2
Bren Joy,Pocket,0.516,0.682,3,-6.545,0,0.0535,0.096,0.0,0.107,0.39299999999999996,153.996,spotify:track:6VbkpKQxghXolaaY4gS61D,4,-0.2830249103055024,0.23540817515381207,6
Wallows,Are You Bored Yet? (feat. Clairo),0.682,0.6829999999999999,8,-6.444,0,0.0287,0.156,2.3199999999999998e-05,0.273,0.64,120.023,spotify:track:57RA3JGafJm5zRtKJiKPIm,4,-0.22943463081109156,-0.19720926348784953,5
Timeflies,Nobody Has to Know,0.725,0.57,4,-4.06,1,0.106,0.723,0.0,0.085,0.23800000000000002,146.233,spotify:track:4iaPzRl9XegHsNdZfuHWFD,4,0.2805609372765906,0.09900166277356422,4
Timeflies,Gravity,0.68,0.6659999999999999,10,-5.6979999999999995,1,0.0441,0.0217,0.0,0.125,0.501,74.0,spotify:track:4eCe46kZbdcdHeWhjZww8I,4,-0.2569550186704645,-0.27304230497489207,5
Social House,Magic In The Hamptons (feat. Lil Yachty),0.769,0.479,1,-5.3389999999999995,1,0.0385,0.66,0.0,0.0914,0.8029999999999999,96.051,spotify:track:2Yer0p7uB2lVBUAtANuuQp,4,0.27979684205430694,-0.47206090407838464,2
Social House,Love Me Back,0.5589999999999999,0.43700000000000006,3,-10.27,1,0.0311,0.585,0.0,0.10099999999999999,0.43,157.991,spotify:track:0Vs8BRdNnyuk0QXWPWvICK,4,0.3093678099293922,0.22595733249813682,4
Russ,"Psycho, Pt. 2",0.7659999999999999,0.5479999999999999,10,-4.29,1,0.235,0.775,5.57e-06,0.1,0.424,82.944,spotify:track:26OhjtaTamFocE08t83ml6,4,0.41318111521441336,-0.32773808712366514,3
Rex Orange County,Sunflower,0.384,0.765,6,-4.463,1,0.0579,0.6459999999999999,0.00352,0.522,0.5670000000000001,129.903,spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ,4,-0.007581849886808996,0.05582060664693661,0
Quinn XCII,Flare Guns,0.812,0.47200000000000003,1,-6.806,0,0.0603,0.26,0.0,0.285,0.457,92.95100000000001,spotify:track:7cM9Kqto11iJpY2RwgVJSq,4,0.07373245617136436,-0.26472310821954304,2
PRETTYMUCH,Phases,0.77,0.636,11,-6.724,0,0.131,0.16899999999999998,0.0,0.0676,0.49200000000000005,105.93,spotify:track:3je88Q4OvTqIx7BFRFYvRA,4,-0.10103402899377639,-0.22615346968135125,2
Prelow,Backseat,0.706,0.5589999999999999,1,-6.565,1,0.0339,0.0126,2.49e-06,0.051,0.46799999999999997,102.00299999999999,spotify:track:2UoBCvP9e34TJ4RSPUXomc,4,-0.1955325500393123,-0.13824474692489302,0
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.9129999999999999,89.911,spotify:track:3KkXRkHbMCARz0aVfEt68P,4,0.1992223021901002,-0.5560816754855892,2
Post Malone,Wow.,0.8290000000000001,0.539,11,-7.359,0,0.20800000000000002,0.136,1.78e-06,0.10300000000000001,0.38799999999999996,99.96,spotify:track:7xQAfvXzm3AkraOtGPWIZg,4,-0.002200483477569992,-0.2243287872532752,2
Post Malone,rockstar (feat. 21 Savage),0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.80100000000002,spotify:track:0e7ipj03S05BNilyu5bRzt,4,-0.1194684843013623,0.39218358040737483,6
Post Malone,Rich & Sad,0.599,0.5710000000000001,2,-4.998,1,0.0665,0.198,0.0,0.0969,0.285,151.974,spotify:track:2VdT56BGpdqNHUgOe1j5vc,4,-0.133136269952381,0.23048586637498739,0
Post Malone,Otherside,0.652,0.643,9,-5.667000000000001,0,0.0353,0.318,2.87e-06,0.20800000000000002,0.109,104.932,spotify:track:4qWCFTuNnmGNdY4egtb4ZY,4,-0.007373140764285029,0.11631516559011688,0
