uri,artist,title,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo
spotify:track:0GJnCFj7z7hvxo7AKX1PM8,Bryce Vine,Los Angeles,0.728,0.812,-6.099,0.0671,0.121,0.293,0.824,150.093
spotify:track:0fQ9O8i6Hw2VFMW7i1Tgav,Troye Sivan,YOUTH - Gryffin Remix,0.56,0.66,-6.264,0.0406,0.0796,0.0989,0.367,103.974
spotify:track:3AGOgQzp0YcPH41u9p7dOp,The Wanted,Glad You Came,0.61,0.841,-4.579,0.0692,0.056,0.118,0.431,126.889
spotify:track:4WvApvScQ8ofzDIqgpScmb,Eric Reprid,June Blues,0.941,0.551,-5.659,0.0534,0.331,0.106,0.702,98.014
spotify:track:6VbkpKQxghXolaaY4gS61D,Bren Joy,Pocket,0.516,0.682,-6.545,0.0535,0.096,0.107,0.393,153.996
spotify:track:57RA3JGafJm5zRtKJiKPIm,Wallows,Are You Bored Yet? (feat. Clairo),0.682,0.683,-6.444,0.0287,0.156,0.273,0.64,120.023
spotify:track:4iaPzRl9XegHsNdZfuHWFD,Timeflies,Nobody Has to Know,0.725,0.57,-4.06,0.106,0.723,0.085,0.238,146.233
spotify:track:4eCe46kZbdcdHeWhjZww8I,Timeflies,Gravity,0.68,0.666,-5.698,0.0441,0.0217,0.125,0.501,74.0
spotify:track:2Yer0p7uB2lVBUAtANuuQp,Social House,Magic In The Hamptons (feat. Lil Yachty),0.769,0.479,-5.339,0.0385,0.66,0.0914,0.803,96.051
spotify:track:0Vs8BRdNnyuk0QXWPWvICK,Social House,Love Me Back,0.559,0.437,-10.27,0.0311,0.585,0.101,0.43,157.991
spotify:track:26OhjtaTamFocE08t83ml6,Russ,"Psycho, Pt. 2",0.766,0.548,-4.29,0.235,0.775,0.1,0.424,82.944
spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ,Rex Orange County,Sunflower,0.384,0.765,-4.463,0.0579,0.646,0.522,0.567,129.903
spotify:track:7cM9Kqto11iJpY2RwgVJSq,Quinn XCII,Flare Guns,0.812,0.472,-6.806,0.0603,0.26,0.285,0.457,92.951
spotify:track:3je88Q4OvTqIx7BFRFYvRA,PRETTYMUCH,Phases,0.77,0.636,-6.724,0.131,0.169,0.0676,0.492,105.93
