uri,artist,title,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo
spotify:track:1OJqtwMsA3RHmAYh6DHWYK,Chris Wright,You're the Reason,0.693,0.403,-8.773,0.191,0.946,0.104,0.677,115.621
spotify:track:2XpmzywSGH1OILU0mxSHBy,keshi,as long as it takes you,0.876,0.288,-9.208,0.321,0.449,0.3,0.279,139.994
spotify:track:1K1b1rPjbbam1NXUPg4VrK,UMI,Lullaby,0.849,0.19,-9.628,0.0447,0.549,0.102,0.203,113.955
spotify:track:4qkVALwOxCIEZ7I5gkZ3m4,UMI,Butterfly,0.785,0.27,-14.457,0.0892,0.255,0.0953,0.12,131.894
spotify:track:5HYSOEDwblGTVSh88TZnet,UMI,Midnight Blues,0.763,0.494,-6.857,0.0487,0.965,0.173,0.347,88.011
spotify:track:630Ug0XtmhhFvAKo0PNuEI,UMI,Remember Me,0.84,0.344,-8.613,0.0374,0.456,0.35,0.526,111.994
spotify:track:1dlgxW5PwUT0v1xzHTCRgH,RINI,Carefree,0.715,0.317,-12.28,0.109,0.824,0.123,0.239,120.029
spotify:track:2ZwIO3ufWLFYxtEoam9ydu,RINI,My Favourite Clothes,0.746,0.339,-9.041,0.144,0.482,0.0838,0.291,119.924
spotify:track:7ivYWXqrPLs66YwakDuSim,keshi,like i need u,0.748,0.465,-8.163,0.0869,0.399,0.294,0.412,119.872
spotify:track:3Dkvp3L4w0uJFYfIPa8E9H,LANY,ILYSB - STRIPPED,0.661,0.393,-8.199,0.0554,0.546,0.11,0.165,83.851
spotify:track:0rKtyWc8bvkriBthvHKY8d,Joji,SLOW DANCING IN THE DARK,0.515,0.479,-7.458,0.0261,0.544,0.191,0.284,88.964
spotify:track:5lH3H5LMsBnWfec33fui3w,khai dreams,Through and Through,0.852,0.424,-9.308,0.0463,0.383,0.0843,0.591,94.934
spotify:track:0nMqu5vN44GNv8UOQxmBJK,COIN,Malibu 1992,0.559,0.32,-7.694,0.0414,0.0644,0.173,0.497,147.366
spotify:track:1XFbCFyh2mPCDUBtoHut9A,ASTN,18,0.554,0.452,-12.751,0.538,0.575,0.347,0.344,84.982
spotify:track:2itR8VHeTVKInnMPec8mj8,khai dreams,Lost in You,0.771,0.607,-12.02,0.113,0.334,0.122,0.79,90.035
spotify:track:08zeEYblrLGAwATpniIMCu,khai dreams,Do You Wonder,0.774,0.281,-12.527,0.0404,0.545,0.105,0.341,140.086
spotify:track:41yIvlFgvGwxq8qTqAR7eG,The Paper Kites,Bloom - Bonus Track,0.592,0.416,-9.794,0.0246,0.882,0.112,0.417,96.002
spotify:track:5TTXEcfsYLh6fTarLaevTi,NIKI,lowkey,0.752,0.494,-8.18,0.0559,0.432,0.0869,0.227,117.901
spotify:track:53usuYfeK66GLBhm6k7x5e,khai dreams,Fantasy,0.35,0.43,-13.14,0.131,0.715,0.299,0.203,169.908
spotify:track:2IgbYlOlFpiSFYnsqB39lM,DPR LIVE,Jasmine,0.597,0.486,-5.893,0.0986,0.331,0.14,0.397,137.68
spotify:track:2dpaYNEQHiRxtZbfNsse99,Marshmello,Happier,0.687,0.792,-2.749,0.0452,0.191,0.167,0.671,100.015
spotify:track:70YPzqSEwJvAIQ6nMs1cjY,ILLENIUM,In Your Arms (with X Ambassadors),0.404,0.806,-4.75,0.0496,0.198,0.114,0.112,148.036
spotify:track:6pooRNiLyYpxZeIA5kJ5EX,ILLENIUM,Good Things Fall Apart (with Jon Bellion),0.643,0.594,-5.453,0.0318,0.0128,0.118,0.442,144.033
spotify:track:3WtCu35qpzGCLIGa8pczdu,Halsey,Colors - Audien Remix,0.649,0.885,-2.012,0.106,0.0722,0.101,0.719,134.932
spotify:track:4Gcv5SsxnQWpmOnUI19EJk,Gryffin,All You Need To Know (feat. Calle Lehmann),0.513,0.788,-4.629,0.0364,0.00968,0.11,0.234,139.987
spotify:track:3g0mEQx3NTanacLseoP0Gw,The Chainsmokers,Takeaway,0.528,0.511,-8.144,0.0324,0.126,0.101,0.351,100.1
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,0.748,0.524,-5.599,0.0338,0.414,0.111,0.661,95.01
spotify:track:6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,Something Just Like This,0.617,0.635,-6.769,0.0317,0.0498,0.164,0.446,103.019
spotify:track:5uGCoNepb3NfYHzdVDXQtC,SLANDER,Potions,0.545,0.323,-12.006,0.0391,0.102,0.107,0.193,149.941
spotify:track:17Efhyf4A96n0EFXKeB7Ya,ILLENIUM,Crashing (feat. Bahari),0.582,0.681,-6.138,0.0458,0.342,0.186,0.273,95.995
spotify:track:39glqzRVRAy4vq3PqeTGb8,SLANDER,Love Is Gone,0.452,0.465,-10.006,0.0344,0.0589,0.095,0.0832,149.586
spotify:track:24FFOpCA6bc5YoU2F3TKqS,Gryffin,Just For A Moment (feat. Iselin),0.536,0.776,-6.343,0.0485,0.0137,0.269,0.414,144.037
spotify:track:22S5BO6h7JIOjg2Uw88l8e,Cash Cash,How to Love (feat. Sofia Reyes) - Boombox Cartel Remix,0.548,0.895,-1.988,0.102,0.11,0.0816,0.682,150.122
spotify:track:4f3NHOxgC8Bg21IJBg4cZ3,Timmy Trumpet,Freaks - Radio Edit,0.882,0.965,-0.818,0.13,0.0136,0.206,0.759,128.129
spotify:track:1DxEbPu9z1SVGh7dXMuzS9,Said the Sky,Superstar,0.617,0.721,-5.568,0.0375,0.0712,0.0867,0.422,134.974
spotify:track:2zh01m4PiHaZz4BAm0NRxs,Gryffin,Tie Me Down (with Elley Duhé),0.608,0.845,-2.292,0.0597,0.136,0.111,0.322,98.976
spotify:track:6BDLcvvtyJD2vnXRDi1IjQ,Seven Lions,Rush Over Me,0.441,0.753,-4.074,0.044,0.0701,0.027,0.254,135.015
spotify:track:17ejRbr6B8l9zdqgCZsn4m,Gryffin,Nobody Compares To You (feat. Katie Pearlman),0.59,0.764,-4.735,0.0467,0.229,0.192,0.331,104.911
spotify:track:4keoy2fqgwGnbWlm3ZVZFa,Zedd,Happy Now,0.503,0.741,-5.128,0.047,0.579,0.0712,0.458,88.335
spotify:track:4bw3ZyWA1ui0Adu285NWDl,Halsey,Without Me - ILLENIUM Remix,0.639,0.71,-3.358,0.0479,0.483,0.219,0.373,136.004
spotify:track:15BlympuVSfZFROojEMY2M,The Chainsmokers,Don't Let Me Down (feat. Daya) - Illenium Remix,0.428,0.656,-3.712,0.075,0.0751,0.15,0.355,79.648
spotify:track:6h9xi8i9zVOXk5FqGqcBNH,The Wanted,We Own The Night - The Chainsmokers Edit,0.602,0.839,-3.561,0.0389,0.0141,0.0897,0.402,126.001
spotify:track:1dFkD1JfRMzwO6hwUsE8aS,Zedd,Spectrum,0.609,0.801,-4.417,0.034,0.0137,0.127,0.407,129.99
spotify:track:1I8tHoNBFTuoJAlh4hfVVE,Kygo,Firestone (feat. Conrad Sewell),0.486,0.652,-7.226,0.052,0.408,0.077,0.391,113.055
spotify:track:0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,0.527,0.835,-5.298,0.0433,0.0166,0.249,0.654,125.983
spotify:track:0xrcHE5F1e4OMJ2V9fc2Br,Grace VanderWaal,Moonlight - BKAYE Remix,0.498,0.872,-2.336,0.153,0.039,0.276,0.365,91.866
spotify:track:31MNOpsq7wfsrlIEV0vDrv,Gryffin,Whole Heart - BKAYE Remix,0.507,0.693,-6.921,0.166,0.0701,0.17,0.465,83.772
spotify:track:4Z1t1aMRif8ES212kTN8H2,Gryffin,Whole Heart,0.501,0.648,-7.173,0.0696,0.028,0.153,0.191,163.834
spotify:track:7gHs73wELdeycvS48JfIos,Alan Walker,Faded,0.589,0.651,-5.097,0.0306,0.0291,0.111,0.166,90.011
spotify:track:2ISSQPb9LHHiV6ng2NXosL,Zedd,Beautiful Now,0.628,0.833,-4.126,0.0282,0.0079,0.074,0.56,128.003
spotify:track:2zMXH5k5NZy1Nw460bLvRh,Cash Cash,Take Me Home (feat. Bebe Rexha),0.571,0.903,-2.184,0.214,0.0615,0.186,0.477,127.951
spotify:track:5XRuR2wBLylhBAK6HMIS29,2 Friends Remixes,Mr. Brightside - Original,0.477,0.776,-5.933,0.0445,0.026,0.0914,0.445,148.081
spotify:track:1SWg0LGSxwbD3pyLfW0z5H,tobi lou,hot tub DREAM Machine,0.677,0.526,-8.245,0.0361,0.264,0.113,0.467,140.082
spotify:track:39LLxExYz6ewLAcYrzQQyP,Dua Lipa,Levitating,0.695,0.883,-2.286,0.0778,0.0533,0.213,0.907,103.014
spotify:track:5Htq8DDDN0Xce9MwqzAzui,88rising,La La Lost You,0.721,0.582,-8.251,0.0411,0.315,0.065,0.487,100.083
spotify:track:71kkmlYkfgbrFNozWnquQi,Dabin,Holding On,0.491,0.675,-5.722,0.0368,0.0518,0.111,0.23,144.98
spotify:track:7uzmGiiJyRfuViKKK3lVmR,Bazzi,Mine,0.71,0.789,-3.874,0.0722,0.0161,0.451,0.717,142.929
spotify:track:2cvOfKHOHgwQlLiuLKP2xR,Post Malone,Myself,0.476,0.701,-4.234,0.0349,0.102,0.242,0.405,163.882
spotify:track:1YuIEfhp8umr6QSal4FTK4,John K,OT,0.734,0.443,-6.466,0.0788,0.434,0.107,0.617,79.485
spotify:track:27as7exfxU3cNaYKr3HlHI,Lauv,Mean It - stripped,0.538,0.228,-10.837,0.0334,0.746,0.126,0.517,90.912
spotify:track:7ojmU04SuSKtIjzODRFIiB,Loud Luxury,I'm Not Alright - Frank Walker Remix,0.741,0.869,-3.557,0.0366,0.0176,0.137,0.686,124.99
