uri,artist,title,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,pc1,pc2,label
spotify:track:4s9Na0ywXodZXScgvXmJop,Seven Lions,First Time (feat. Dylan Matthew) - Acoustic,0.5579999999999999,0.337,-8.414,0.0311,0.92,0.159,0.397,143.784,0.6007019351749266,0.1733837687958274,1
spotify:track:0PxJmAlyKcRdd1r9FvDbTn,Lauv,For Now,0.5329999999999999,0.226,-12.186,0.0416,0.7829999999999999,0.113,0.111,83.588,0.752180073450091,0.1954150412178916,1
spotify:track:1TFC1wutiIHQQ9buf8bxQI,Jai Wolf,Better Apart (feat. Dresage),0.489,0.703,-4.564,0.026000000000000002,0.013000000000000001,0.10400000000000001,0.256,149.977,-0.3881556924595428,0.3275276093661721,3
spotify:track:5qhHm4dN4L2dhRb2TfzGPw,Lauv,Lonely Eyes,0.586,0.499,-7.005,0.0267,0.0418,0.0994,0.369,95.014,-0.12947590834218958,0.003392502478133479,4
spotify:track:7pWK1kMgHy5lNNiIfuRbkP,Martin Garrix,Used To Love (with Dean Lewis),0.6509999999999999,0.693,-4.7219999999999995,0.0375,0.45799999999999996,0.335,0.392,118.97,-0.017358528657434986,-0.043586039194796575,4
spotify:track:7cDpMO5wuWgvv3j4INRBeB,Lauv,Changes,0.532,0.455,-8.366,0.156,0.452,0.237,0.204,148.18200000000002,0.21990635600908687,0.322819522326896,6
spotify:track:4oM9DGUTrRaXJDypxxHztZ,Bryce Vine,La La Land (feat. YG),0.774,0.473,-5.122000000000001,0.0569,0.221,0.222,0.41600000000000004,97.95299999999999,0.002294022951203042,-0.1932957035419521,2
spotify:track:5uRjHOMFT16RS1f8ZNlkzm,Felix Palmqvist,Think Of Me (feat. Loé),0.499,0.61,-4.48,0.031,0.606,0.0693,0.299,155.21200000000002,0.10590987606587669,0.288151287202765,6
spotify:track:3Tiv2bF1OLCXXnuXaDKaG3,X Ambassadors,HOLD YOU DOWN,0.5770000000000001,0.627,-5.553,0.0533,0.0491,0.0766,0.446,78.96,-0.22555161188934628,-0.13517617551547692,4
spotify:track:4Y778EFdrOrvILkY3k4FXO,Bryce Vine,Nowhere Man,0.634,0.677,-6.6979999999999995,0.0336,0.10099999999999999,0.0576,0.33,122.035,-0.21837092504214464,0.06891295336978426,4
spotify:track:4MJfCOcc2PpWOrUqOpvy1S,Bryce Vine,Sunflower Seeds,0.723,0.593,-5.816,0.0308,0.19399999999999998,0.217,0.273,92.985,-0.06903338332559021,-0.08128407584820074,4
spotify:track:0GJnCFj7z7hvxo7AKX1PM8,Bryce Vine,Los Angeles,0.728,0.812,-6.099,0.0671,0.121,0.293,0.8240000000000001,150.093,-0.3922312311218464,-0.25985935011319516,0
spotify:track:0fQ9O8i6Hw2VFMW7i1Tgav,Troye Sivan,YOUTH - Gryffin Remix,0.56,0.66,-6.263999999999999,0.0406,0.0796,0.0989,0.36700000000000005,103.97399999999999,-0.2302223065441181,0.02917787524178439,4
spotify:track:3AGOgQzp0YcPH41u9p7dOp,The Wanted,Glad You Came,0.61,0.841,-4.579,0.0692,0.055999999999999994,0.11800000000000001,0.431,126.889,-0.4192342793378158,-0.002813794856969653,0
