artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,time_signature
The Lumineers,Ho Hey,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,spotify:track:0W4Kpfp1w2xkY3PrV714B7,4
Vancouver Sleep Clinic,Ayahuasca,0.463,0.228,4,-15.717,0,0.0338,0.734,0.11,0.0691,0.0528,148.003,spotify:track:6oVm5ocTB8B0rjO5dZk8Px,4
Death Cab for Cutie,When We Drive,0.72,0.628,11,-8.759,0,0.0302,0.405,0.0201,0.311,0.524,103.576,spotify:track:3g2BcuGHf4zYPSxv1uoSmv,4
Dream Easy Collective,Ultimately,0.734,0.22,5,-17.295,1,0.226,0.896,0.0,0.339,0.625,106.977,spotify:track:0I0ZackSSk90oGUJtfKnJd,4
Lostboycrow,Santa Fe,0.482,0.378,0,-10.448,0,0.0468,0.542,0.198,0.189,0.401,187.834,spotify:track:0SzLEOsIqaVdThCSzvbgCy,3
Finding Hope,3:00 AM,0.548,0.148,0,-18.726,0,0.0419,0.557,0.000956,0.286,0.0344,81.999,spotify:track:5HsSsEeP3hU9QSfHZrzbtA,4
Jeremy Zucker,thinking 2 much,0.667,0.371,6,-11.845,1,0.0476,0.788,7.23e-06,0.0998,0.519,104.946,spotify:track:3X0J4QzAMCoyMZUSMCoVDw,4
Oh Wonder,Plans,0.458,0.298,0,-13.191,1,0.25,0.833,0.0599,0.0631,0.144,76.575,spotify:track:5jOQ5v49S1h496AiNlk682,4
Gallant,Weight in Gold,0.38,0.438,5,-5.526,0,0.0962,0.0259,1.29e-05,0.154,0.349,179.404,spotify:track:1gXBi2I04CLJkTQnhNfEJT,3
Clueless Kit,Come to a Stop (feat. Kora),0.867,0.492,0,-6.663,1,0.395,0.767,0.00409,0.102,0.542,160.031,spotify:track:169koB619bHoCZGLgAcDSX,4
Catherine Feeny,Mr Blue,0.456,0.386,10,-10.293,1,0.032,0.835,0.108,0.389,0.612,165.733,spotify:track:6ta5yavnnEfCE4faU0jebM,4
Fialta,High Above Chicago,0.603,0.361,2,-9.335,1,0.0291,0.416,0.00688,0.105,0.131,121.098,spotify:track:6brEbACn8gEJAZjbNQEElb,3
Oh Wonder,Without You,0.639,0.465,11,-7.247,0,0.0696,0.27,1.45e-06,0.124,0.319,86.994,spotify:track:0IVHlst3XMgzXUJbIyZ8oO,4
Oh Wonder,Drive,0.657,0.456,9,-8.351,1,0.0961,0.705,8.84e-06,0.084,0.381,141.735,spotify:track:2kJqNHHGOzLNahukdvlDWN,4
Emma Sameth,Spin With You (feat. Jeremy Zucker),0.818,0.445,5,-7.467,0,0.23,0.718,3.88e-05,0.108,0.423,95.944,spotify:track:1m7XbKhOvJst478ms8yUrr,4
Jeremy Zucker,desire,0.623,0.236,7,-12.529,1,0.0485,0.843,0.0,0.376,0.351,137.938,spotify:track:4cxwiuYJltrPeWr5FDDntO,4
RKCB,Naive,0.64,0.582,1,-9.529,1,0.041,0.716,0.00117,0.328,0.085,100.024,spotify:track:2jPQpbzZd90opXN0cBOspe,4
Oh Wonder,Heart Hope,0.377,0.375,8,-13.364,1,0.0505,0.938,0.0491,0.108,0.0712,122.431,spotify:track:2Czp64BykWyWfIssRXQZvT,4
khai dreams,Summer Is Like a Dream,0.586,0.384,8,-16.529,1,0.246,0.821,0.000524,0.0741,0.647,140.006,spotify:track:7BrvQTRoBtMlZuRuiWfFnf,4
Jeremy Zucker,firefly,0.738,0.319,6,-8.479,0,0.117,0.569,2.48e-05,0.145,0.427,83.017,spotify:track:2ULvsEVdvPbXERrl3mGEE8,4
Chris Wright,Up and Down,0.501,0.523,2,-9.298,1,0.174,0.877,3.19e-06,0.143,0.576,132.348,spotify:track:2qcusYRhQiSQexL1cmkj8N,4
Chris Wright,Sleep Alone,0.763,0.286,0,-15.599,1,0.102,0.772,1.21e-05,0.0954,0.175,112.192,spotify:track:3uLeFt6TLThy8ij5cf6MTt,4
Milky Day,Blur,0.453,0.287,11,-12.695,1,0.051,0.787,0.0,0.106,0.076,127.454,spotify:track:4ugiUtLDE6ACEeG5vj1rEh,4
khai dreams,Drifting Away,0.52,0.268,1,-15.199,1,0.0407,0.739,0.177,0.0718,0.273,119.856,spotify:track:34CuWXYL4yE4zgUR7yKqC3,4
Chris Wright,You're the Reason,0.693,0.403,0,-8.773,1,0.191,0.946,5.07e-06,0.104,0.677,115.621,spotify:track:1OJqtwMsA3RHmAYh6DHWYK,4
keshi,as long as it takes you,0.876,0.288,1,-9.208,0,0.321,0.449,0.000396,0.3,0.279,139.994,spotify:track:2XpmzywSGH1OILU0mxSHBy,4
UMI,Lullaby,0.849,0.19,7,-9.628,1,0.0447,0.549,0.00229,0.102,0.203,113.955,spotify:track:1K1b1rPjbbam1NXUPg4VrK,3
UMI,Butterfly,0.785,0.27,5,-14.457,1,0.0892,0.255,0.00132,0.0953,0.12,131.894,spotify:track:4qkVALwOxCIEZ7I5gkZ3m4,4
UMI,Midnight Blues,0.763,0.494,11,-6.857,0,0.0487,0.965,0.00173,0.173,0.347,88.011,spotify:track:5HYSOEDwblGTVSh88TZnet,4
UMI,Remember Me,0.84,0.344,5,-8.613,0,0.0374,0.456,3.36e-05,0.35,0.526,111.994,spotify:track:630Ug0XtmhhFvAKo0PNuEI,4
RINI,Carefree,0.715,0.317,4,-12.28,0,0.109,0.824,1.9e-06,0.123,0.239,120.029,spotify:track:1dlgxW5PwUT0v1xzHTCRgH,4
RINI,My Favourite Clothes,0.746,0.339,2,-9.041,1,0.144,0.482,1.36e-05,0.0838,0.291,119.924,spotify:track:2ZwIO3ufWLFYxtEoam9ydu,4
keshi,like i need u,0.748,0.465,5,-8.163,1,0.0869,0.399,0.0,0.294,0.412,119.872,spotify:track:7ivYWXqrPLs66YwakDuSim,4
LANY,ILYSB - STRIPPED,0.661,0.393,5,-8.199,1,0.0554,0.546,0.000131,0.11,0.165,83.851,spotify:track:3Dkvp3L4w0uJFYfIPa8E9H,4
Joji,SLOW DANCING IN THE DARK,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,spotify:track:0rKtyWc8bvkriBthvHKY8d,4
khai dreams,Through and Through,0.852,0.424,6,-9.308,1,0.0463,0.383,0.0,0.0843,0.591,94.934,spotify:track:5lH3H5LMsBnWfec33fui3w,4
COIN,Malibu 1992,0.559,0.32,6,-7.694,1,0.0414,0.0644,0.132,0.173,0.497,147.366,spotify:track:0nMqu5vN44GNv8UOQxmBJK,4
ASTN,18,0.554,0.452,8,-12.751,1,0.538,0.575,0.0,0.347,0.344,84.982,spotify:track:1XFbCFyh2mPCDUBtoHut9A,3
khai dreams,Lost in You,0.771,0.607,5,-12.02,0,0.113,0.334,0.0,0.122,0.79,90.035,spotify:track:2itR8VHeTVKInnMPec8mj8,4
khai dreams,Do You Wonder,0.774,0.281,4,-12.527,1,0.0404,0.545,0.0249,0.105,0.341,140.086,spotify:track:08zeEYblrLGAwATpniIMCu,4
The Paper Kites,Bloom - Bonus Track,0.592,0.416,1,-9.794,1,0.0246,0.882,0.000586,0.112,0.417,96.002,spotify:track:41yIvlFgvGwxq8qTqAR7eG,4
NIKI,lowkey,0.752,0.494,0,-8.18,1,0.0559,0.432,0.0,0.0869,0.227,117.901,spotify:track:5TTXEcfsYLh6fTarLaevTi,4
khai dreams,Fantasy,0.35,0.43,7,-13.14,1,0.131,0.715,0.0,0.299,0.203,169.908,spotify:track:53usuYfeK66GLBhm6k7x5e,4
DPR LIVE,Jasmine,0.597,0.486,8,-5.893,1,0.0986,0.331,0.0,0.14,0.397,137.68,spotify:track:2IgbYlOlFpiSFYnsqB39lM,4
Marshmello,Happier,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,spotify:track:2dpaYNEQHiRxtZbfNsse99,4
ILLENIUM,In Your Arms (with X Ambassadors),0.404,0.806,2,-4.75,1,0.0496,0.198,0.0,0.114,0.112,148.036,spotify:track:70YPzqSEwJvAIQ6nMs1cjY,4
Marshmello,Happier,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,spotify:track:2dpaYNEQHiRxtZbfNsse99,4
ILLENIUM,In Your Arms (with X Ambassadors),0.404,0.806,2,-4.75,1,0.0496,0.198,0.0,0.114,0.112,148.036,spotify:track:70YPzqSEwJvAIQ6nMs1cjY,4
ILLENIUM,Good Things Fall Apart (with Jon Bellion),0.643,0.594,2,-5.453,1,0.0318,0.0128,0.0,0.118,0.442,144.033,spotify:track:6pooRNiLyYpxZeIA5kJ5EX,4
Halsey,Colors - Audien Remix,0.649,0.885,1,-2.012,1,0.106,0.0722,8.03e-05,0.101,0.719,134.932,spotify:track:3WtCu35qpzGCLIGa8pczdu,4
Gryffin,All You Need To Know (feat. Calle Lehmann),0.513,0.788,0,-4.629,1,0.0364,0.00968,0.0,0.11,0.234,139.987,spotify:track:4Gcv5SsxnQWpmOnUI19EJk,4
The Chainsmokers,Takeaway,0.528,0.511,3,-8.144,1,0.0324,0.126,0.0,0.101,0.351,100.1,spotify:track:3g0mEQx3NTanacLseoP0Gw,4
The Chainsmokers,Closer,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,4
The Chainsmokers,Something Just Like This,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,spotify:track:6RUKPb4LETWmmr3iAEQktW,4
SLANDER,Potions,0.545,0.323,3,-12.006,1,0.0391,0.102,2.74e-06,0.107,0.193,149.941,spotify:track:5uGCoNepb3NfYHzdVDXQtC,4
ILLENIUM,Crashing (feat. Bahari),0.582,0.681,5,-6.138,1,0.0458,0.342,0.0,0.186,0.273,95.995,spotify:track:17Efhyf4A96n0EFXKeB7Ya,4
SLANDER,Love Is Gone,0.452,0.465,4,-10.006,0,0.0344,0.0589,0.000524,0.095,0.0832,149.586,spotify:track:39glqzRVRAy4vq3PqeTGb8,4
Gryffin,Just For A Moment (feat. Iselin),0.536,0.776,1,-6.343,0,0.0485,0.0137,1.83e-05,0.269,0.414,144.037,spotify:track:24FFOpCA6bc5YoU2F3TKqS,4
Cash Cash,How to Love (feat. Sofia Reyes) - Boombox Cartel Remix,0.548,0.895,9,-1.988,0,0.102,0.11,0.0,0.0816,0.682,150.122,spotify:track:22S5BO6h7JIOjg2Uw88l8e,4
Timmy Trumpet,Freaks - Radio Edit,0.882,0.965,4,-0.818,1,0.13,0.0136,0.388,0.206,0.759,128.129,spotify:track:4f3NHOxgC8Bg21IJBg4cZ3,4
Said the Sky,Superstar,0.617,0.721,5,-5.568,1,0.0375,0.0712,6.61e-05,0.0867,0.422,134.974,spotify:track:1DxEbPu9z1SVGh7dXMuzS9,4
Gryffin,Tie Me Down (with Elley Duhé),0.608,0.845,6,-2.292,1,0.0597,0.136,0.0,0.111,0.322,98.976,spotify:track:2zh01m4PiHaZz4BAm0NRxs,4
Seven Lions,Rush Over Me,0.441,0.753,0,-4.074,1,0.044,0.0701,0.0,0.027,0.254,135.015,spotify:track:6BDLcvvtyJD2vnXRDi1IjQ,4
Gryffin,Nobody Compares To You (feat. Katie Pearlman),0.59,0.764,2,-4.735,1,0.0467,0.229,0.0,0.192,0.331,104.911,spotify:track:17ejRbr6B8l9zdqgCZsn4m,4
Zedd,Happy Now,0.503,0.741,4,-5.128,1,0.047,0.579,1.49e-06,0.0712,0.458,88.335,spotify:track:4keoy2fqgwGnbWlm3ZVZFa,3
Halsey,Without Me - ILLENIUM Remix,0.639,0.71,6,-3.358,1,0.0479,0.483,2.22e-06,0.219,0.373,136.004,spotify:track:4bw3ZyWA1ui0Adu285NWDl,4
The Chainsmokers,Don't Let Me Down (feat. Daya) - Illenium Remix,0.428,0.656,11,-3.712,1,0.075,0.0751,0.181,0.15,0.355,79.648,spotify:track:15BlympuVSfZFROojEMY2M,4
The Wanted,We Own The Night - The Chainsmokers Edit,0.602,0.839,8,-3.561,0,0.0389,0.0141,0.0083,0.0897,0.402,126.001,spotify:track:6h9xi8i9zVOXk5FqGqcBNH,4
Zedd,Spectrum,0.609,0.801,0,-4.417,0,0.034,0.0137,0.00349,0.127,0.407,129.99,spotify:track:1dFkD1JfRMzwO6hwUsE8aS,4
Kygo,Firestone (feat. Conrad Sewell),0.486,0.652,11,-7.226,0,0.052,0.408,6.63e-05,0.077,0.391,113.055,spotify:track:1I8tHoNBFTuoJAlh4hfVVE,4
Avicii,The Nights,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,4
Grace VanderWaal,Moonlight - BKAYE Remix,0.498,0.872,7,-2.336,1,0.153,0.039,0.0,0.276,0.365,91.866,spotify:track:0xrcHE5F1e4OMJ2V9fc2Br,4
Gryffin,Whole Heart - BKAYE Remix,0.507,0.693,9,-6.921,1,0.166,0.0701,1.17e-06,0.17,0.465,83.772,spotify:track:31MNOpsq7wfsrlIEV0vDrv,4
Gryffin,Whole Heart,0.501,0.648,9,-7.173,1,0.0696,0.028,1.26e-05,0.153,0.191,163.834,spotify:track:4Z1t1aMRif8ES212kTN8H2,4
Alan Walker,Faded,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,spotify:track:7gHs73wELdeycvS48JfIos,4
Zedd,Beautiful Now,0.628,0.833,11,-4.126,0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,spotify:track:2ISSQPb9LHHiV6ng2NXosL,4
Cash Cash,Take Me Home (feat. Bebe Rexha),0.571,0.903,7,-2.184,1,0.214,0.0615,1.23e-06,0.186,0.477,127.951,spotify:track:2zMXH5k5NZy1Nw460bLvRh,4
2 Friends Remixes,Mr. Brightside - Original,0.477,0.776,1,-5.933,1,0.0445,0.026,0.0,0.0914,0.445,148.081,spotify:track:5XRuR2wBLylhBAK6HMIS29,4
tobi lou,hot tub DREAM Machine,0.677,0.526,11,-8.245,1,0.0361,0.264,2.77e-06,0.113,0.467,140.082,spotify:track:1SWg0LGSxwbD3pyLfW0z5H,4
Dua Lipa,Levitating,0.695,0.883,6,-2.286,0,0.0778,0.0533,0.0,0.213,0.907,103.014,spotify:track:39LLxExYz6ewLAcYrzQQyP,4
88rising,La La Lost You,0.721,0.582,2,-8.251,1,0.0411,0.315,0.000559,0.065,0.487,100.083,spotify:track:5Htq8DDDN0Xce9MwqzAzui,4
Dabin,Holding On,0.491,0.675,5,-5.722,1,0.0368,0.0518,1.19e-05,0.111,0.23,144.98,spotify:track:71kkmlYkfgbrFNozWnquQi,4
Bazzi,Mine,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,spotify:track:7uzmGiiJyRfuViKKK3lVmR,4
Post Malone,Myself,0.476,0.701,0,-4.234,1,0.0349,0.102,0.0,0.242,0.405,163.882,spotify:track:2cvOfKHOHgwQlLiuLKP2xR,4
John K,OT,0.734,0.443,5,-6.466,1,0.0788,0.434,8.11e-05,0.107,0.617,79.485,spotify:track:1YuIEfhp8umr6QSal4FTK4,4
Lauv,Mean It - stripped,0.538,0.228,7,-10.837,1,0.0334,0.746,0.0,0.126,0.517,90.912,spotify:track:27as7exfxU3cNaYKr3HlHI,4
Loud Luxury,I'm Not Alright - Frank Walker Remix,0.741,0.869,1,-3.557,0,0.0366,0.0176,0.0,0.137,0.686,124.99,spotify:track:7ojmU04SuSKtIjzODRFIiB,4
